w_,Study area,1,Sampling station,Date,Latitude,Longitude,Collector name,M. florea,R. campestris,S. pipiens,V. pellucens,A. cineraria,Other individuals,Notes (optional),
Cologne_029_1_17-09-21,Cologne,029,1,17/09/2021,51.053202,6.915012,Hinatea Ariey,0,0,3,0,0,14,,
Cologne_032_1_20-08-21,Cologne,032,1,20/08/2021,51.044797,6.812466,Hinatea Ariey,0,0,0,2,0,1,,
Cologne_033_1_20-08-21,Cologne,033,1,20/08/2021,51.045564,6.814952,Hinatea Ariey,0,0,1,0,0,2,,
Cologne_034_1_20-08-21,Cologne,034,1,20/08/2021,51.045610,6.839295,Hinatea Ariey,1,0,1,0,0,4,,
Cologne_035_1_14-08-21,Cologne,035,1,14/08/2021,51.049726,6.842030,Hinatea Ariey,2,0,2,0,0,23,,
Cologne_035_1_31-07-21,Cologne,035,1,31/07/2021,51.049451,6.852680,Hinatea Ariey,0,0,1,0,0,23,,
Cologne_035_2_31-07-21,Cologne,035,2,31/07/2021,51.048166,6.844285,Hinatea Ariey,0,0,0,0,0,90,,
Cologne_036_1_31-07-21,Cologne,036,1,31/07/2021,51.041080,6.863633,Hinatea Ariey,2,0,1,0,0,5,,
Cologne_037_1_08-10-21,Cologne,037,1,08/10/2021,51.041841,6.883575,Hinatea Ariey,2,0,0,0,0,3,,
Cologne_037_1_18-08-21,Cologne,037,1,18/08/2021,51.041712,6.882544,Hinatea Ariey,0,0,2,0,0,37,,
Cologne_038_1_08-10-21,Cologne,038,1,08/10/2021,51.041840,6.886272,Hinatea Ariey,0,0,0,0,0,4,,
Cologne_038_1_18-08-21,Cologne,038,1,18/08/2021,51.041764,6.884878,Hinatea Ariey,0,0,2,0,0,5,,
Cologne_038_2_18-08-21,Cologne,038,2,18/08/2021,51.044221,6.897943,Hinatea Ariey,0,0,0,0,0,9,,
Cologne_039_1_12-08-21,Cologne,039,1,12/08/2021,51.044589,6.904130,Hinatea Ariey,1,0,3,0,0,16,,
Cologne_039_1_18-08-21,Cologne,039,1,18/08/2021,51.042692,6.899541,Hinatea Ariey,0,0,0,0,0,21,,
Cologne_040_1_12-08-21,Cologne,040,1,12/08/2021,51.047193,6.913981,Hinatea Ariey,1,0,6,0,0,15,,
Cologne_041_1_12-08-21,Cologne,041,1,12/08/2021,51.043602,6.931251,Hinatea Ariey,8,0,4,0,0,17,,
Cologne_042_1_25-08-21,Cologne,042,1,25/08/2021,51.041124,6.942098,Hinatea Ariey,1,0,1,0,0,17,,
Cologne_044_1_09-09-21,Cologne,044,1,09/09/2021,51.034435,6.807084,Hinatea Ariey,0,0,1,0,0,3,,
Cologne_045_1_24-08-21,Cologne,045,1,24/08/2021,51.031973,6.825909,Hinatea Ariey,1,0,1,0,0,12,,
Cologne_046_1_24-08-21,Cologne,046,1,24/08/2021,51.032936,6.829819,Hinatea Ariey,1,0,1,0,0,7,,
Cologne_049_1_18-08-21,Cologne,049,1,18/08/2021,51.040016,6.883713,Hinatea Ariey,3,0,6,0,0,18,,
Cologne_049_1_31-07-21,Cologne,049,1,31/07/2021,51.039780,6.880241,Hinatea Ariey,2,0,1,0,0,2,,
Cologne_050_1_31-07-21,Cologne,050,1,31/07/2021,51.034333,6.883095,Hinatea Ariey,2,0,2,0,0,28,,
Cologne_051_1_05-09-21,Cologne,051,1,05/09/2021,51.033520,6.901623,Hinatea Ariey,3,0,1,0,0,0,,
Cologne_051_2_05-09-21,Cologne,051,2,05/09/2021,51.039307,6.909918,Hinatea Ariey,9,0,2,0,0,1,,
Cologne_052_1_10-10-21,Cologne,052,1,10/10/2021,51.036843,6.926986,Hinatea Ariey,1,0,0,0,0,1,,
Cologne_052_1_18-08-21,Cologne,052,1,18/08/2021,51.039469,6.913779,Hinatea Ariey,0,0,2,0,0,35,,
Cologne_052_1_22-09-21,Cologne,052,1,22/09/2021,51.036919,6.913952,Hinatea Ariey,0,0,3,0,0,14,,
Cologne_053_1_12-08-21,Cologne,053,1,12/08/2021,51.037321,6.930068,Hinatea Ariey,1,0,3,0,0,16,,
Cologne_053_1_25-08-21,Cologne,053,1,25/08/2021,51.039809,6.936438,Hinatea Ariey,1,0,1,0,0,5,,
Cologne_054_1_25-08-21,Cologne,054,1,25/08/2021,51.033966,6.945882,Hinatea Ariey,0,0,1,0,0,13,,
Cologne_056_1_24-08-21,Cologne,056,1,24/08/2021,51.024432,6.828524,Hinatea Ariey,0,0,1,0,0,12,,
Cologne_057_1_24-08-21,Cologne,057,1,24/08/2021,51.022768,6.853054,Hinatea Ariey,0,0,0,0,0,1,,
Cologne_060_1_31-07-21,Cologne,060,1,31/07/2021,51.029635,6.886724,Hinatea Ariey,1,0,8,0,0,50,,
Cologne_061_1_05-09-21,Cologne,061,1,05/09/2021,51.027176,6.910648,Hinatea Ariey,1,0,2,0,0,0,,
Cologne_062_1_05-09-21,Cologne,062,1,05/09/2021,51.030753,6.916848,Hinatea Ariey,1,0,1,0,0,3,,
Cologne_062_2_05-09-21,Cologne,062,2,05/09/2021,51.026194,6.925454,Hinatea Ariey,1,0,0,0,0,3,,
Cologne_062_3_05-09-21,Cologne,062,3,05/09/2021,51.028116,6.912807,Hinatea Ariey,1,0,2,0,0,0,,
Cologne_063_1_22-09-21,Cologne,063,1,22/09/2021,51.024631,6.935192,Hinatea Ariey,4,0,0,0,0,3,,
Cologne_064_1_10-10-21,Cologne,064,1,10/10/2021,51.030466,6.952765,Hinatea Ariey,2,0,0,0,0,2,,
Cologne_064_1_25-08-21,Cologne,064,1,25/08/2021,51.029715,6.951252,Hinatea Ariey,0,0,3,0,0,0,,
Cologne_064_1_28-07-21,Cologne,064,1,28/07/2021,51.024113,6.953266,Hinatea Ariey,0,0,1,1,0,0,,
Cologne_065_1_25-08-21,Cologne,065,1,25/08/2021,51.022605,6.961535,Hinatea Ariey,0,0,0,0,0,5,,
Cologne_065_1_25-08-21,Cologne,065,1,25/08/2021,51.024686,6.9610018,Hinatea Ariey,1,0,1,0,0,1,,
Cologne_067_1_04-10-21,Cologne,067,1,04/10/2021,51.024406,6.999755,Hinatea Ariey,1,0,0,0,0,2,,
Cologne_068_1_04-10-21,Cologne,068,1,04/10/2021,51.026782,7.016484,Hinatea Ariey,0,0,4,0,0,12,,
Cologne_069_1_07-09-21,Cologne,069,1,07/09/2021,51.017598,6.838263,Hinatea Ariey,1,0,2,0,0,0,,
Cologne_069_1_23-08-21,Cologne,069,1,23/08/2021,51.017660,6.836076,Hinatea Ariey,0,0,0,0,0,16,,
Cologne_069_1_24-08-21,Cologne,069,1,24/08/2021,51.016305,6.840628,Hinatea Ariey,0,0,0,0,0,22,,
Cologne_069_2_24-08-21,Cologne,069,2,24/08/2021,51.017566,6.836162,Hinatea Ariey,0,0,4,0,0,1,,
Cologne_070_1_04-08-21,Cologne,070,1,04/08/2021,51.016287,6.848075,Hinatea Ariey,0,0,0,0,0,8,,
Cologne_070_1_13-08-21,Cologne,070,1,13/08/2021,51.014640,6.846984,Hinatea Ariey,0,0,4,0,0,18,,
Cologne_070_2_04-08-21,Cologne,070,2,04/08/2021,51.014635,6.848766,Hinatea Ariey,0,0,0,0,0,60,,
Cologne_071_1_04-08-21,Cologne,071,1,04/08/2021,51.010249,6.858306,Hinatea Ariey,1,0,4,0,0,4,,
Cologne_071_1_13-08-21,Cologne,071,1,13/08/2021,51.020563,6.866231,Hinatea Ariey,0,0,2,0,0,30,,
Cologne_071_2_04-08-21,Cologne,071,2,04/08/2021,51.015919,6.859253,Hinatea Ariey,1,0,2,0,0,2,,
Cologne_072_1_04-08-21,Cologne,072,1,04/08/2021,51.018651,6.883074,Hinatea Ariey,0,0,2,0,0,5,,
Cologne_072_1_13-08-21,Cologne,072,1,13/08/2021,51.022267,6.875607,Hinatea Ariey,1,0,1,0,0,8,,
Cologne_073_1_04-08-21,Cologne,073,1,04/08/2021,51.018916,6.897772,Hinatea Ariey,0,0,1,0,0,0,,
Cologne_073_2_04-08-21,Cologne,073,2,04/08/2021,51.018756,6.895318,Hinatea Ariey,1,0,4,0,0,5,,
Cologne_073_3_04-08-21,Cologne,073,3,04/08/2021,51.018066,6.893479,Hinatea Ariey,7,0,3,0,0,14,,
Cologne_074_1_04-08-21,Cologne,074,1,04/08/2021,51.018883,6.905707,Hinatea Ariey,0,0,4,0,0,0,,
Cologne_074_1_05-09-21,Cologne,074,1,05/09/2021,51.017561,6.909942,Hinatea Ariey,2,0,3,0,0,0,,
Cologne_074_2_04-08-21,Cologne,074,2,04/08/2021,51.018096,6.900519,Hinatea Ariey,0,0,4,0,0,0,,
Cologne_075_1_02-10-21,Cologne,075,1,02/10/2021,51.018309,6.915299,Julian Wittische,2,0,3,0,0,12,,
Cologne_075_1_22-09-21,Cologne,075,1,22/09/2021,51.019374,6.917520,Hinatea Ariey,0,0,0,0,0,5,,
Cologne_075_2_22-09-21,Cologne,075,2,22/09/2021,51.018328,6.915326,Hinatea Ariey,0,0,0,0,0,3,,
Cologne_076_1_22-09-21,Cologne,076,1,22/09/2021,51.019853,6.932084,Hinatea Ariey,1,0,0,0,0,8,,
Cologne_077_1_28-07-21,Cologne,077,1,28/07/2021,51.017288,6.954657,Hinatea Ariey,0,0,2,0,0,0,,
Cologne_078_1_28-07-21,Cologne,078,1,28/07/2021,51.017627,6.955553,Hinatea Ariey,0,0,1,0,0,0,,
Cologne_078_2_28-07-21,Cologne,078,2,28/07/2021,51.017013,6.957809,Hinatea Ariey,3,0,1,0,0,2,,
Cologne_081_1_04-10-21,Cologne,081,1,04/10/2021,51.019810,7.001466,Hinatea Ariey,0,0,0,0,0,2,,
Cologne_086_1_23-08-21,Cologne,086,1,23/08/2021,51.010720,6.835992,Hinatea Ariey,0,0,1,0,0,12,,
Cologne_087_1_13-08-21,Cologne,087,1,13/08/2021,51.009551,6.852223,Hinatea Ariey,1,0,2,0,0,16,,
Cologne_089_1_04-08-21,Cologne,089,1,04/08/2021,51.005056,6.881501,Hinatea Ariey,1,0,3,0,0,1,,
Cologne_089_2_04-08-21,Cologne,089,2,04/08/2021,51004605,6.874300,Hinatea Ariey,0,0,4,0,0,8,,
Cologne_090_1_02-10-21,Cologne,090,1,02/10/2021,51.011073,6.888446,Julian Wittische,0,0,0,0,0,1,,
Cologne_090_1_05-10-21,Cologne,090,1,05/10/2021,51.010685,6.891933,Julian Wittische,2,0,0,0,0,4,,
Cologne_091_1_04-08-21,Cologne,091,1,04/08/2021,51.012392,6.909578,Hinatea Ariey,3,0,0,1,0,14,,
Cologne_092_1_02-10-21,Cologne,092,1,02/10/2021,51.011128,6.926296,Julian Wittische,0,0,0,0,0,4,,
Cologne_092_1_10-10-21,Cologne,092,1,10/10/2021,51.010571,6.924006,Hinatea Ariey,0,0,0,0,0,6,,
Cologne_093_1_02-10-21,Cologne,093,1,02/10/2021,51.012445,6.929196,Julian Wittische,0,0,0,0,0,5,,
Cologne_093_1_10-10-21,Cologne,093,1,10/10/2021,51.006175,6.932961,Hinatea Ariey,0,0,0,0,0,2,,
Cologne_094_1_25-08-21,Cologne,094,1,25/08/2021,51.005676,6.944540,Hinatea Ariey,0,0,1,0,0,5,,
Cologne_095_1_28-07-21,Cologne,095,1,28/07/2021,51.006065,6.955106,Hinatea Ariey,6,0,1,0,0,3,,
Cologne_100_1_09-09-21,Cologne,100,1,09/09/2021,51.009546,7.035248,Frank & Jorg,0,0,1,0,0,0,,
Cologne_101_1_07-08-21,Cologne,101,1,07/08/2021,51.003747,7.043169,Frank & Jorg,4,0,0,0,0,0,,
Cologne_101_1_22-07-21,Cologne,101,1,22/07/2021,51.003657,7.043577,Frank & Jorg,0,0,1,0,0,0,,
Cologne_104_1_23-08-21,Cologne,104,1,23/08/2021,51.002631,6.840002,Hinatea Ariey,0,0,1,0,0,0,,
Cologne_105_1_23-08-21,Cologne,105,1,23/08/2021,51.004172,6.842081,Hinatea Ariey,0,0,2,0,0,10,,
Cologne_106_1_07-09-21,Cologne,106,1,07/09/2021,51.000322,6.867234,Hinatea Ariey,1,0,0,0,0,0,,
Cologne_106_1_10-08-21,Cologne,106,1,10/08/2021,51.001471,6.856608,Hinatea Ariey,1,0,3,0,0,5,,
Cologne_107_1_01-08-21,Cologne,107,1,01/08/2021,50.999423,6.873048,Hinatea Ariey,0,0,2,0,0,5,,
Cologne_107_1_05-10-21,Cologne,107,1,05/10/2021,50.997139,6.875459,Julian Wittische,1,0,1,0,0,4,,
Cologne_107_2_01-08-21,Cologne,107,2,01/08/2021,51.000061,6.871160,Hinatea Ariey,0,0,3,0,0,0,,
Cologne_108_1_12-07-21,Cologne,108,1,12/07/2021,51.000383,6.891896,Hinatea Ariey,1,0,1,0,0,1,,
Cologne_109_1_11-07-21,Cologne,109,1,11/07/2021,50.996418,6.898369,Hinatea Ariey,0,0,3,0,0,3,,
Cologne_109_1_12-07-21,Cologne,109,1,12/07/2021,51.001081,6.901873,Hinatea Ariey,0,0,0,6,0,0,,
Cologne_109_1_19-09-21,Cologne,109,1,19/09/2021,51.002297,6.900568,Hinatea Ariey,4,0,0,0,0,3,,
Cologne_110_1_02-10-21,Cologne,110,1,02/10/2021,50.996081,6.919803,Julian Wittische,3,0,0,0,0,3,,
Cologne_110_1_20-09-21,Cologne,110,1,20/09/2021,50.997342,6.922237,Hinatea Ariey,0,0,0,0,0,4,,
Cologne_110_1_28-07-21,Cologne,110,1,28/07/2021,50.997878,6.922932,Hinatea Ariey,0,0,1,0,0,1,,
Cologne_111_1_28-07-21,Cologne,111,1,28/07/2021,50.997803,6.935947,,1,0,2,0,0,4,,
Cologne_112_1_25-08-21,Cologne,112,1,25/08/2021,51.002515,6.949187,Hinatea Ariey,0,0,2,0,0,4,,
Cologne_112_1_28-07-21,Cologne,112,1,28/07/2021,50.995728,6.948451,Hinatea Ariey,0,0,1,0,0,4,,
Cologne_113_1_28-07-21,Cologne,113,1,28/07/2021,50.995926,6.957693,Hinatea Ariey,8,0,0,0,0,0,,
Cologne_114_1_06-08-21,Cologne,114,1,06/08/2021,50.997211,6.981789,Frank & Jorg,2,0,0,0,0,0,,
Cologne_114_1_20-07-21,Cologne,114,1,20/07/2021,50.997211,6.981789,Frank & Jorg,0,0,1,0,0,0,,
Cologne_115_1_20-07-21,Cologne,115,1,20/07/2021,50.999098,6.996484,Frank & Jorg,0,0,1,0,0,0,,
Cologne_116_1_09-09-21,Cologne,116,1,09/09/2021,50.998333,6.999248,Frank & Jorg,2,0,2,0,0,0,,
Cologne_117_1_09-09-21,Cologne,117,1,09/09/2021,51.001736,7.018927,Frank & Jorg,0,0,2,0,0,0,,
Cologne_118_1_04-10-21,Cologne,118,1,04/10/2021,51.002154,7.039776,Hinatea Ariey,0,0,0,0,0,3,,
Cologne_118_1_28-07-21,Cologne,118,1,28/07/2021,50.996207,7.037655,Frank & Jorg,0,0,2,0,0,0,,
Cologne_118_2_04-10-21,Cologne,118,2,04/10/2021,51.002521,7.034014,Hinatea Ariey,0,0,0,0,0,4,,
Cologne_119_1_07-08-21,Cologne,119,1,07/08/2021,50.999049,7.052036,Frank & Jorg,2,0,0,0,0,0,,
Cologne_119_1_28-07-21,Cologne,119,1,28/07/2021,50.996994,7.043579,Frank & Jorg,0,0,2,0,0,0,,
Cologne_122_1_05-08-21,Cologne,122,1,05/08/2021,50.987862,6.830974,Hinatea Ariey,2,0,13,0,0,6,,
Cologne_123_1_23-08-21,Cologne,123,1,23/08/2021,50.990848,6.852073,Hinatea Ariey,0,0,0,0,0,9,,
Cologne_123_2_23-08-21,Cologne,123,2,23/08/2021,50.991321,6.854903,Hinatea Ariey,1,0,1,0,0,3,,
Cologne_124_1_01-08-21,Cologne,124,1,01/08/2021,50.989404,6.857671,Hinatea Ariey,1,0,8,0,0,5,,
Cologne_125_1_01-08-21,Cologne,125,1,01/08/2021,50.993617,6.869458,Hinatea Ariey,0,0,4,0,0,8,,
Cologne_125_1_10-07-21,Cologne,125,1,10/07/2021,50.988009,6.870795,Hinatea Ariey,4,0,0,0,0,16,,
Cologne_125_1_15-06-21,Cologne,125,1,15/06/2021,50.98857,6.878068,Hinatea Ariey,1,0,0,1,0,0,,
Cologne_125_1_21-07-21,Cologne,125,1,21/07/2021,50.986762,6.880309,Julian Wittische,0,0,0,0,0,18,,
Cologne_125_2_10-07-21,Cologne,125,2,10/07/2021,50.989319,6.870677,Hinatea Ariey,2,0,0,1,0,11,,
Cologne_125_2_15-06-21,Cologne,125,2,15/06/2021,50.990142,6.880966,Hinatea Ariey,0,0,0,0,0,2,1 syrphodae + A. morio,
Cologne_125_3_10-07-21,Cologne,125,3,10/07/2021,50.990496,6.873070,Hinatea Ariey,0,0,0,0,0,7,,
Cologne_125_4_10-07-21,Cologne,125,4,10/07/2021,50.990410,6.881101,Hinatea Ariey,0,0,0,0,0,7,,
Cologne_126_1_10-07-21,Cologne,126,1,10/07/2021,50.99413,6.88958,Hinatea Ariey,0,0,0,0,0,4,,
Cologne_126_1_10-08-21,Cologne,126,1,10/08/2021,50.987564,6.888515,Hinatea Ariey,0,0,4,0,0,1,,
Cologne_126_1_15-06-21,Cologne,126,1,15/06/2021,50.992152,6.891254,Hinatea Ariey,0,0,0,4,0,1,"Hi Hinatea, your fly was not target, I changed it to bycatch",
Cologne_126_1_21-07-21,Cologne,126,1,21/07/2021,50.990737,6.889145,Julian Wittische,1,0,0,0,0,10,,
Cologne_127_1_03-09-21,Cologne,127,1,03/09/2021,50.989146,6.904929,Hinatea Ariey,1,0,0,0,0,4,,
Cologne_127_1_21-07-21,Cologne,127,1,21/07/2021,50.989318,6.904934,Julian Wittische,0,0,1,0,0,20,,
Cologne_128_1_08-07-21,Cologne,128,1,08/07/2021,50.986592,6.914670,Hinatea Ariey,0,0,3,0,0,12,,
Cologne_128_1_20-09-21,Cologne,128,1,20/09/2021,50.991681,6.919773,Hinatea Ariey,3,0,0,0,0,8,,
Cologne_128_1_26-06-21,Cologne,128,1,26/06/2021,50.993513,6.915574,Hinatea Ariey,0,0,0,0,0,1,,
Cologne_129_1_20-09-21,Cologne,129,1,20/09/2021,50.991400,6.933484,Hinatea Ariey,8,0,0,0,0,11,,
Cologne_129_1_27-07-21,Cologne,129,1,27/07/2021,50.989060,6.938409,Hinatea Ariey,0,0,1,0,0,2,,
Cologne_130_1_27-07-21,Cologne,130,1,27/07/2021,50.988370,6.952676,Hinatea Ariey,4,0,1,0,0,2,,
Cologne_131_1_20-09-21,Cologne,131,1,20/09/2021,50.98990,6.958654,Hinatea Ariey,4,0,0,0,0,5,,
Cologne_131_1_27-07-21,Cologne,131,1,27/07/2021,50.991127,6.963063,Hinatea Ariey,0,0,1,0,0,0,,
Cologne_132_1_27-07-21,Cologne,132,1,27/07/2021,50.988118,6.977628,Frank & Jorg,1,0,0,0,0,0,,
Cologne_133_1_18-10-21,Cologne,133,1,18/10/2021,50.986255,6.993868,Julian Wittische,0,0,0,0,0,10,,
Cologne_133_1_20-07-21,Cologne,133,1,20/07/2021,50.987398,6.989269,Frank & Jorg,0,0,1,0,0,0,,
Cologne_134_1_06-08-21,Cologne,134,1,06/08/2021,50.985876,6.999392,Frank & Jorg,2,0,0,0,0,0,,
Cologne_134_1_18-10-21,Cologne,134,1,18/10/2021,50.986835,7.005991,Julian Wittische,0,0,0,0,0,3,,
Cologne_134_1_22-07-21,Cologne,134,1,22/07/2021,50.986192,7.000003,Frank & Jorg,0,0,1,0,0,0,,
Cologne_135_1_10-08-21,Cologne,135,1,10/08/2021,50.992839,7.016522,Frank & Jorg,2,0,0,0,0,0,,
Cologne_135_1_28-07-21,Cologne,135,1,28/07/2021,50.991252,7.025045,Frank & Jorg,0,0,2,0,0,0,,
Cologne_136_1_22-07-21,Cologne,136,1,22/07/2021,50.987283,7.031587,Frank & Jorg,0,0,1,0,0,0,,
Cologne_137_1_07-08-21,Cologne,137,1,07/08/2021,50.986351,7.049674,Frank & Jorg,2,0,0,0,0,0,,
Cologne_138_1_29-07-21,Cologne,138,1,29/07/2021,50.986335,7.067692,Frank & Jorg,0,0,1,0,0,0,,
Cologne_141_1_05-08-21,Cologne,141,1,05/08/2021,50.986065,6.827467,Hinatea Ariey,0,0,4,0,0,10,,
Cologne_141_1_18-09-21,Cologne,141,1,18/09/2021,50.985109,6.835483,Hinatea Ariey,3,0,5,0,0,14,,
Cologne_142_1_05-08-21,Cologne,142,1,05/08/2021,50.980102,6.847728,Hinatea Ariey,0,0,0,0,0,16,,
Cologne_142_1_10-08-21,Cologne,142,1,10/08/2021,50.982668,6.853204,Hinatea Ariey,3,0,2,0,0,9,,
Cologne_143_1_01-08-21,Cologne,143,1,01/08/2021,50.984409,6.859969,Hinatea Ariey,3,0,2,0,0,3,,
Cologne_144_1_10-07-21,Cologne,144,1,10/07/2021,50.983293,6.872449,Hinatea Ariey,0,0,0,0,0,4,,
Cologne_144_1_15-06-21,Cologne,144,1,15/06/2021,50.980337,6.872671,Hinatea Ariey,0,0,1,0,0,0,,
Cologne_144_1_19-09-21,Cologne,144,1,19/09/2021,50.981291,6.877225,Hinatea Ariey,4,0,1,0,0,4,,
Cologne_145_1_20-07-21,Cologne,145,1,20/07/2021,50.977644,6.893208,Hinatea Ariey,0,0,3,0,0,2,,
Cologne_145_2_20-07-21,Cologne,145,2,20/07/2021,50.978606,6.897507,Hinatea Ariey,0,0,1,0,0,0,,
Cologne_145_3_20-07-21,Cologne,145,3,20/07/2021,50.981690,6.896973,Hinatea Ariey,0,0,0,0,0,6,,
