"","MF239","MF25","MF265","MF270","MF303","MF59","MF130","MF197","MF36","MF419","MF432","MF486","MF492","MF103","MF26","MF261","MF263","MF269","MF28","MF323","MF457","MF491","MF56","MF70"
"Bettembourg",0.075579,0.036807,0.555078,1,0.002023,0.075898,0.101428,1,0.443773,0.791339,0.59938,0.321578,1,0.62913,1,0.043574,0.785477,1,0.113272,1,0.827774,0.503769,0.699588,0.043574
"Hesperange",0.027627,1,0.672794,1,0.106715,0.114347,0.010088,1,0.550525,0.386858,0.96488,0.482147,0.027192,0.001902,0.770693,0.168765,0.940474,1,0.185881,0.057074,0.052615,0.109878,0.517599,0.0431
"Leudelange",1,1,1,1,0.00111,1,0.717987,1,0.252042,0.145411,0.534123,0.206174,1,1,0.736939,0.133477,0.184329,1,0.280856,0.779567,0.12357,0.037609,0.601362,1
"Luxembourg",0.115211,1,1,1,0.198534,0.51079,0.239346,0.030295,0.016722,0.00923,0.19389,0.683537,1,0.042495,0.040703,0.026882,0.689089,0.690987,0.000443,0.046591,0.899094,0.111153,0.008951,0.061289
"Reckange.sur.Mess",1,1,1,1,0.053632,0.729364,0.366822,0.130799,0.19539,0.1333,0.416853,0.676678,1,1,0.164473,0.11173,0.604712,1,0.386986,0.741548,0.390443,1,0.088078,1
"Roeser",0.254733,1,1,1,0.326839,0.343386,0.327606,1,0.6249,0.484512,0.090227,0.059087,1,0.002078,0.371816,0.29657,0.971771,1,0.035938,0.101381,0.309156,1,0.673932,1
"Strassen",0.006194,1,0.554506,1,1,0.718962,0.315471,1,1,0.30896,0.57766,0.505063,1,1,0.149763,0.326373,1,0.40337,0.565805,0.575691,0.811412,0.005181,0.87737,1
