"x" "y"
"106" 4102363.1810739 3100267.75234825
"107" 4102363.1810739 3100267.75234825
"108" 4102363.1810739 3100267.75234825
"109" 4104818.19502053 3100390.59521895
"110" 4104818.19502053 3100390.59521895
"111" 4104818.19502053 3100390.59521895
"112" 4104818.19502053 3100390.59521895
"113" 4106506.3157393 3100601.3879332
"114" 4106506.3157393 3100601.3879332
"115" 4106506.3157393 3100601.3879332
"116" 4106506.3157393 3100601.3879332
"117" 4106506.3157393 3100601.3879332
"118" 4107291.53507553 3100176.76494404
"119" 4107291.53507553 3100176.76494404
"120" 4107291.53507553 3100176.76494404
"121" 4107291.53507553 3100176.76494404
"122" 4107291.53507553 3100176.76494404
"123" 4110559.92712377 3100092.71531504
"124" 4110568.21421177 3100094.26854662
"125" 4111862.84294525 3099698.61181968
"126" 4117112.47390131 3099656.5482135
"127" 4117112.47390131 3099656.5482135
"128" 4099099.83135436 3099722.13660317
"129" 4099119.72493831 3099591.20222587
"130" 4099186.83234413 3099938.87897951
"131" 4100909.77616449 3099910.59138891
"132" 4101777.19897561 3099633.70666508
"133" 4103304.61273667 3099465.46969904
"134" 4104231.10710776 3098908.43984291
"135" 4104231.10710776 3098908.43984291
"136" 4104231.10710776 3098908.43984291
"137" 4104231.10710776 3098908.43984291
"138" 4104231.10710776 3098908.43984291
"139" 4105150.47313631 3098825.60565875
"140" 4106620.21415834 3099417.46648965
"141" 4106620.21415834 3099417.46648965
"142" 4106620.21415834 3099417.46648965
"143" 4107978.33063264 3099433.7546261
"144" 4108946.17299608 3099131.44211832
"145" 4110677.13695672 3098535.42838697
"146" 4111890.38290528 3098427.63580534
"147" 4112204.09245978 3098698.59185517
"148" 4113446.27474356 3098435.21294191
"149" 4100191.99071941 3112726.66214776
"150" 4100137.0716427 3112827.70366834
"151" 4100137.0716427 3112827.70366834
"152" 4100137.0716427 3112827.70366834
"153" 4115441.65299693 3098549.79990991
"154" 4116860.35809618 3099027.43811932
"155" 4117917.29850737 3098515.4182102
"156" 4098263.63504101 3098684.45359749
"157" 4100010.73712229 3098053.5845369
"158" 4100010.73712229 3098053.5845369
"159" 4100484.90611829 3098101.91053891
"160" 4101517.13132619 3098103.2321839
"161" 4101517.13132619 3098103.2321839
"162" 4101517.13132619 3098103.2321839
"163" 4101517.13132619 3098103.2321839
"164" 4102354.69758557 3098437.1072696
"165" 4103551.69603798 3098173.91010648
"166" 4103551.69603798 3098173.91010648
"167" 4104195.22304241 3098520.97662795
"168" 4104195.22304241 3098520.97662795
"169" 4105171.45421438 3098496.55039021
"170" 4105769.44399022 3097832.36659315
"171" 4105171.45421438 3098496.55039021
"172" 4105171.45421438 3098496.55039021
"173" 4105171.45421438 3098496.55039021
"174" 4105171.45421438 3098496.55039021
"175" 4105171.45421438 3098496.55039021
"176" 4106128.38031142 3098025.12740479
"177" 4107944.14877788 3097669.52040118
"178" 4107944.14877788 3097669.52040118
"179" 4107944.14877788 3097669.52040118
"180" 4107944.14877788 3097669.52040118
"181" 4108615.65124792 3098546.23893792
"182" 4108258.75756496 3098316.03321805
"183" 4109308.5421559 3097909.18554982
"184" 4110290.72459235 3097863.55578423
"185" 4111418.32912538 3097731.44720107
"186" 4112521.14865708 3098149.44208837
"187" 4113821.40312652 3098099.5988519
"188" 4098580.27791491 3109878.47459729
"189" 4114173.52334004 3098067.92197493
"190" 4115729.59386563 3097537.26589173
"191" 4116559.96673005 3097279.44528154
"192" 4116559.96673005 3097279.44528154
"193" 4117873.16595674 3097200.05981043
"194" 4097733.61305428 3098074.1359563
"195" 4099990.13274627 3097535.85105771
"196" 4100804.7865826 3097111.19833079
"197" 4101766.71092633 3096974.61061638
"198" 4101233.38199835 3097306.76741415
"199" 4098595.17003439 3109825.26188563
"200" 4102095.59575861 3097076.95511994
"201" 4102095.59575861 3097076.95511994
"202" 4102095.59575861 3097076.95511994
"203" 4102095.59575861 3097076.95511994
"204" 4103279.02824509 3097420.75451686
"205" 4104266.83207252 3097065.16262536
"206" 4105691.38207218 3097572.50106799
"207" 4106090.164803 3097316.15664735
"208" 4107743.73461642 3097243.88720165
"209" 4107743.73461642 3097243.88720165
"210" 4107743.73461642 3097243.88720165
"211" 4109864.93404838 3097448.77152358
"212" 4109864.93404838 3097448.77152358
"213" 4110529.33668054 3096585.30963613
"214" 4111572.22615137 3096591.76711999
"215" 4100152.25038466 3109111.50565944
"216" 4100152.25038466 3109111.50565944
"217" 4100152.25038466 3109111.50565944
"218" 4100152.25038466 3109111.50565944
"219" 4112257.13241678 3096339.69485139
"220" 4112257.13241678 3096339.69485139
"221" 4113879.56763975 3097105.68753246
"222" 4114156.64006505 3096878.83889476
"223" 4115865.89095486 3096612.61604758
"224" 4116217.22008879 3096905.05687706
"225" 4116217.22008879 3096905.05687706
"226" 4116217.22008879 3096905.05687706
"227" 4117608.01298006 3097039.97237068
"228" 4117608.01298006 3097039.97237068
"229" 4118137.38410671 3096192.30164281
"230" 4097434.97285545 3096926.24811053
"231" 4097434.97285545 3096926.24811053
"232" 4097434.97285545 3096926.24811053
"233" 4098125.97645564 3096851.33636133
"234" 4098125.97645564 3096851.33636133
"235" 4098125.97645564 3096851.33636133
"236" 4098125.97645564 3096851.33636133
"237" 4099731.96418343 3096349.02966085
"238" 4100930.63498033 3096830.73926291
"239" 4101361.60907273 3096916.41503315
"240" 4101361.60907273 3096916.41503315
"241" 4102654.77807319 3096852.14643618
"242" 4102043.73761863 3096714.68058401
"243" 4103265.67552716 3096830.22202404
"244" 4104560.66969894 3096619.58681045
"245" 4105289.69005814 3096407.29523761
"246" 4105289.69005814 3096407.29523761
"247" 4105289.69005814 3096407.29523761
"248" 4105289.69005814 3096407.29523761
"249" 4106484.53334373 3096452.80262333
"250" 4107568.84642088 3095892.3945071
"251" 4107568.84642088 3095892.3945071
"252" 4108763.10896725 3096266.61989498
"253" 4110244.85727349 3095807.89691631
"254" 4111517.01312698 3096155.25009545
"255" 4112278.97414122 3095990.0578132
"256" 4113654.91620885 3096148.01846409
"257" 4114494.74111824 3095094.79864605
"258" 4114494.74111824 3095094.79864605
"259" 4115537.45549766 3095495.49147014
"260" 4117363.37983001 3095487.82377818
"261" 4097582.59183771 3095495.01171372
"262" 4097582.59183771 3095495.01171372
"263" 4097953.14271945 3095249.05403611
"264" 4099285.74926649 3095762.45056265
"265" 4099285.74926649 3095762.45056265
"266" 4099285.74926649 3095762.45056265
"267" 4100154.43767684 3095888.51534995
"268" 4100101.86503383 3095060.00908891
"269" 4101699.39684297 3095270.42692115
"270" 4102864.0294009 3095276.86464008
"271" 4102989.16920701 3095316.09722804
"272" 4102989.16920701 3095316.09722804
"273" 4104426.49345884 3095532.70484074
"274" 4104426.49345884 3095532.70484074
"275" 4104426.49345884 3095532.70484074
"276" 4105356.1380427 3095594.04581636
"277" 4105356.1380427 3095594.04581636
"278" 4105356.1380427 3095594.04581636
"279" 4106457.15181428 3095364.43636727
"280" 4106457.15181428 3095364.43636727
"281" 4106457.15181428 3095364.43636727
"282" 4106457.15181428 3095364.43636727
"283" 4107417.33014432 3095221.98599481
"284" 4107417.33014432 3095221.98599481
"285" 4107417.33014432 3095221.98599481
"286" 4108369.20483013 3094811.69770499
"287" 4109216.10020315 3095456.08994533
"288" 4110131.01797216 3094638.21322059
"289" 4111074.42591547 3094807.70318158
"290" 4112747.44484873 3094593.85047726
"291" 4113033.1676908 3095070.45711812
"292" 4114357.42317462 3094765.9411521
"293" 4115759.40307481 3094372.26378864
"294" 4115759.40307481 3094372.26378864
