"x" "y"
"1" 4024342.51255364 2948734.49363534
"2" 4024342.51255364 2948734.49363534
"3" 4024342.51255364 2948734.49363534
"4" 4024342.51255364 2948734.49363534
"5" 4029286.00345888 2943004.39676449
"6" 4029286.00345888 2943004.39676449
"7" 4029261.42336961 2942579.00442529
"8" 4030745.40606355 2942684.08699413
"9" 4030745.40606355 2942684.08699413
"10" 4030254.92146051 2942989.38053155
"11" 4031413.11569478 2942960.87906079
"12" 4031413.11569478 2942960.87906079
"13" 4031413.11569478 2942960.87906079
"14" 4032670.3232228 2942349.93528284
"15" 4032670.3232228 2942349.93528284
"16" 4032670.3232228 2942349.93528284
"17" 4032670.3232228 2942349.93528284
"18" 4032670.3232228 2942349.93528284
"19" 4034005.97483797 2942896.04133572
"20" 4034005.97483797 2942896.04133572
"21" 4034598.0064142 2942932.59641378
"22" 4036000.79491755 2942220.05264346
"23" 4036000.79491755 2942220.05264346
"24" 4036000.79491755 2942220.05264346
"25" 4036000.79491755 2942220.05264346
"26" 4036004.13932905 2942613.0551917
"27" 4037047.96332078 2942073.77380804
"28" 4037993.55023311 2941828.41565066
"29" 4037993.55023311 2941828.41565066
"30" 4037993.55023311 2941828.41565066
"31" 4037821.80621549 2942189.5268692
"32" 4038529.47949441 2941831.08874522
"33" 4025554.03101327 2948294.82657053
"34" 4025554.03101327 2948294.82657053
"35" 4025554.03101327 2948294.82657053
"36" 4025554.03101327 2948294.82657053
"37" 4025554.03101327 2948294.82657053
"38" 4039815.54241603 2942399.96916775
"39" 4039815.54241603 2942399.96916775
"40" 4021029.73559426 2942337.8847308
"41" 4021990.35018705 2942012.59128928
"42" 4021990.35018705 2942012.59128928
"43" 4021990.35018705 2942012.59128928
"44" 4021990.35018705 2942012.59128928
"45" 4021990.35018705 2942012.59128928
"46" 4021407.96188752 2942528.20973047
"47" 4021407.96188752 2942528.20973047
"48" 4021407.96188752 2942528.20973047
"49" 4022392.97274174 2941843.52667788
"50" 4023566.77110841 2942463.73939592
"51" 4023566.77110841 2942463.73939592
"52" 4023566.77110841 2942463.73939592
"53" 4025000.57307509 2942441.59937122
"54" 4025000.57307509 2942441.59937122
"55" 4025000.57307509 2942441.59937122
"56" 4033443.52984724 2935890.82201633
"57" 4025419.69113689 2942441.66130446
"58" 4025419.69113689 2942441.66130446
"59" 4025419.69113689 2942441.66130446
"60" 4026839.65886942 2941781.49246204
"61" 4028020.53965835 2941820.52252546
"62" 4028020.53965835 2941820.52252546
"63" 4028994.59263739 2942219.38486466
"64" 4028994.59263739 2942219.38486466
"65" 4028994.59263739 2942219.38486466
"66" 4028994.59263739 2942219.38486466
"67" 4028994.59263739 2942219.38486466
"68" 4028530.41130203 2942168.94353631
"69" 4027127.02505941 2948250.93103528
"70" 4027127.02505941 2948250.93103528
"71" 4027127.02505941 2948250.93103528
"72" 4027127.02505941 2948250.93103528
"73" 4027127.02505941 2948250.93103528
"74" 4029715.22239353 2942007.73441823
"75" 4029715.22239353 2942007.73441823
"76" 4029715.22239353 2942007.73441823
"77" 4029582.15855704 2941933.71445726
"78" 4030323.190945 2941713.45702781
"79" 4030359.76968536 2941599.50958006
"80" 4030359.76968536 2941599.50958006
"81" 4030359.76968536 2941599.50958006
"82" 4030359.76968536 2941599.50958006
"83" 4030359.76968536 2941599.50958006
"84" 4032100.85691195 2941655.17484692
"85" 4032564.07441643 2941071.74281757
"86" 4032564.07441643 2941071.74281757
"87" 4032564.07441643 2941071.74281757
"88" 4032564.07441643 2941071.74281757
"89" 4032564.07441643 2941071.74281757
"90" 4032380.04728776 2941123.8369444
"91" 4032414.55285819 2941446.74578057
"92" 4032331.43976925 2941317.50565723
"93" 4032331.43976925 2941317.50565723
"94" 4032331.43976925 2941317.50565723
"95" 4032487.35280207 2941690.28428948
"96" 4032487.35280207 2941690.28428948
"97" 4034077.168742 2941945.19714275
"98" 4034077.168742 2941945.19714275
"99" 4034077.168742 2941945.19714275
"100" 4034077.168742 2941945.19714275
"101" 4034077.168742 2941945.19714275
"102" 4035479.52147734 2941372.56262177
"103" 4035479.52147734 2941372.56262177
"104" 4035479.52147734 2941372.56262177
"105" 4035479.52147734 2941372.56262177
"106" 4035880.07117575 2941477.71278411
"107" 4036195.4177495 2940933.73277664
"108" 4038097.31178572 2941137.90437792
"109" 4038089.40092586 2940889.94862005
"110" 4038327.73478381 2941633.53578734
"111" 4039821.56807286 2940823.76551004
"112" 4039711.66071583 2940711.40891691
"113" 4040857.61359982 2941442.77720381
"114" 4021643.91322614 2941465.62020918
"115" 4022301.27308413 2941265.54348048
"116" 4023547.91591076 2941370.85738283
"117" 4023547.91591076 2941370.85738283
"118" 4023547.91591076 2941370.85738283
"119" 4023547.91591076 2941370.85738283
"120" 4023547.91591076 2941370.85738283
"121" 4024188.48065213 2941162.37847913
"122" 4024188.48065213 2941162.37847913
"123" 4024188.48065213 2941162.37847913
"124" 4026878.1538485 2940809.00626598
"125" 4026878.1538485 2940809.00626598
"126" 4026878.1538485 2940809.00626598
"127" 4027813.82881033 2940903.23868463
"128" 4027813.82881033 2940903.23868463
"129" 4029317.61723161 2948169.84505286
"130" 4029317.61723161 2948169.84505286
"131" 4029317.61723161 2948169.84505286
"132" 4029317.61723161 2948169.84505286
"133" 4028221.90065079 2941018.87199841
"134" 4028221.90065079 2941018.87199841
"135" 4028221.90065079 2941018.87199841
"136" 4028221.90065079 2941018.87199841
"137" 4029640.45160172 2940587.81509599
"138" 4029640.45160172 2940587.81509599
"139" 4029640.45160172 2940587.81509599
"140" 4030833.91591016 2940635.03648005
"141" 4030833.91591016 2940635.03648005
"142" 4030833.91591016 2940635.03648005
"143" 4030833.91591016 2940635.03648005
"144" 4030833.91591016 2940635.03648005
"145" 4031596.09871523 2940633.58519834
"146" 4031596.09871523 2940633.58519834
"147" 4031596.09871523 2940633.58519834
"148" 4031596.09871523 2940633.58519834
"149" 4031596.09871523 2940633.58519834
"150" 4031430.27635876 2940203.85859874
"151" 4031430.27635876 2940203.85859874
"152" 4032081.33534238 2941025.58214445
"153" 4032362.54647137 2940820.60050537
"154" 4032362.54647137 2940820.60050537
"155" 4033410.01974871 2940967.34791994
"156" 4033410.01974871 2940967.34791994
"157" 4033410.01974871 2940967.34791994
"158" 4035001.63496775 2940725.49972181
"159" 4035001.63496775 2940725.49972181
"160" 4035001.63496775 2940725.49972181
"161" 4035762.83034063 2940569.31795914
"162" 4037046.24825142 2940827.50929322
"163" 4037237.53765414 2940631.2881875
"164" 4029986.28327357 2948016.95265038
"165" 4029986.28327357 2948016.95265038
"166" 4038902.82692015 2940747.58951617
"167" 4039766.48423745 2940413.35784268
"168" 4040641.43229723 2939889.56096023
"169" 4022128.95123003 2939949.23384273
"170" 4022128.95123003 2939949.23384273
"171" 4022128.95123003 2939949.23384273
"172" 4022128.95123003 2939949.23384273
"173" 4022128.95123003 2939949.23384273
"174" 4023155.30410339 2940182.49589759
"175" 4023155.30410339 2940182.49589759
"176" 4023155.30410339 2940182.49589759
"177" 4023155.30410339 2940182.49589759
"178" 4023155.30410339 2940182.49589759
"179" 4023283.35923179 2940043.20422911
"180" 4023283.35923179 2940043.20422911
